Year,Price_per_kWh
2023,139
2024,117.2312139
2025,112
2026,109.9653179
2027,106.3323699
2028,102.699422
2029,99.06647399
2030,85
2031,84
2032,83
2033,82
2034,80.9017341
2035,77.26878613
2036,73.63583815
2037,70.00289017
2038,66.3699422
2039,62.73699422
2040,65
