Lag,Autocorrelation,vehicle,month
2,-0.3535561990793654,P_1109,Month 1
3,-0.5023933333400987,P_1109,Month 1
4,-0.5346030706693781,P_1109,Month 1
5,-0.365305709095723,P_1109,Month 1
6,0.3644991676018696,P_1109,Month 1
7,0.8534475323691825,P_1109,Month 1
8,0.40153789050148564,P_1109,Month 1
9,-0.24508234847586213,P_1109,Month 1
10,-0.5788753842770635,P_1109,Month 1
11,-0.5398992578892907,P_1109,Month 1
12,-0.22749605859732086,P_1109,Month 1
13,0.4282896611037107,P_1109,Month 1
14,0.8201795268269704,P_1109,Month 1
2,-0.3061749153761007,P_1109,Month 2
3,-0.16481114287089912,P_1109,Month 2
4,-0.07004189581501565,P_1109,Month 2
5,-0.2905353660060265,P_1109,Month 2
6,-0.1149724134833382,P_1109,Month 2
7,0.7216225139345603,P_1109,Month 2
8,0.25105191658417164,P_1109,Month 2
9,-0.28234583688210585,P_1109,Month 2
10,-0.16352862111968322,P_1109,Month 2
11,-0.11299233543693088,P_1109,Month 2
12,-0.24639902245981019,P_1109,Month 2
13,-0.1529041173191074,P_1109,Month 2
14,0.7674672925825398,P_1109,Month 2
2,-0.10967274722587216,P_1109,Month 3
3,0.020396981466593092,P_1109,Month 3
4,-0.3215785744288972,P_1109,Month 3
5,-0.15191469621051806,P_1109,Month 3
6,0.004931716060784757,P_1109,Month 3
7,0.14974406599124382,P_1109,Month 3
8,0.26342483346508705,P_1109,Month 3
9,-0.013226251481076583,P_1109,Month 3
10,-0.0897955455869797,P_1109,Month 3
11,-0.03087220084378669,P_1109,Month 3
12,-0.39842585580972,P_1109,Month 3
13,-0.3186331659429276,P_1109,Month 3
14,0.10056965871058819,P_1109,Month 3
2,-0.02341648625708784,P_1109,Month 4
3,-0.4593878697442501,P_1109,Month 4
4,-0.47429225824424953,P_1109,Month 4
5,-0.01905827288079347,P_1109,Month 4
6,0.11170813291034176,P_1109,Month 4
7,0.8720079159787564,P_1109,Month 4
8,0.14625103822966126,P_1109,Month 4
9,-0.09762704377114197,P_1109,Month 4
10,-0.46555878551654456,P_1109,Month 4
11,-0.5524119264276534,P_1109,Month 4
12,0.10271448867532103,P_1109,Month 4
13,0.03282944839327888,P_1109,Month 4
14,0.7856583963969475,P_1109,Month 4
2,0.0374659730966423,P_1109,Month 5
3,-0.14680892829745654,P_1109,Month 5
4,-0.10944488137420955,P_1109,Month 5
5,0.15509022433013955,P_1109,Month 5
6,-0.4284870250910194,P_1109,Month 5
7,0.918036460643184,P_1109,Month 5
8,-0.46351373039887783,P_1109,Month 5
9,0.09168596617241609,P_1109,Month 5
10,-0.19341956291797854,P_1109,Month 5
11,-0.11018190164157597,P_1109,Month 5
12,0.18891476454239,P_1109,Month 5
13,-0.46955544502682595,P_1109,Month 5
14,0.8611290158306227,P_1109,Month 5
2,0.029772385828944793,P_1109,Month 6
3,0.11517691093635588,P_1109,Month 6
4,0.15327005264087815,P_1109,Month 6
5,-0.08597675522382893,P_1109,Month 6
6,0.00411207452602045,P_1109,Month 6
7,0.23824267541818564,P_1109,Month 6
8,-0.05120901197619255,P_1109,Month 6
9,0.04186008010444286,P_1109,Month 6
10,0.43291368795580093,P_1109,Month 6
11,0.3895444335792048,P_1109,Month 6
12,0.21448807068739006,P_1109,Month 6
13,0.2047691631761414,P_1109,Month 6
14,0.4971484643040332,P_1109,Month 6
2,-0.0201077802238132,P_1109,Month 7
3,-0.9693694773752549,P_1109,Month 7
4,-0.6153394792895209,P_1109,Month 7
5,0.9999999999999998,P_1109,Month 7
6,,P_1109,Month 7
7,,P_1109,Month 7
8,,P_1109,Month 7
9,,P_1109,Month 7
10,,P_1109,Month 7
11,,P_1109,Month 7
12,,P_1109,Month 7
13,,P_1109,Month 7
14,,P_1109,Month 7
2,0.34190165962718877,P_1109,Month 8
3,0.02915494728101154,P_1109,Month 8
4,-0.04992860371136598,P_1109,Month 8
5,0.1688189456034083,P_1109,Month 8
6,0.06411235111820966,P_1109,Month 8
7,0.14083337112471098,P_1109,Month 8
8,-0.1388864198342281,P_1109,Month 8
9,-0.3485085537949843,P_1109,Month 8
10,-0.4766783484666541,P_1109,Month 8
11,-0.4314469318151204,P_1109,Month 8
12,-0.29810117925879737,P_1109,Month 8
13,-0.04819537671948832,P_1109,Month 8
14,-0.11831952699507568,P_1109,Month 8
2,0.00992785637502493,P_1109,Month 9
3,-0.4491236871602259,P_1109,Month 9
4,-0.5306956539853708,P_1109,Month 9
5,-0.34694718386394957,P_1109,Month 9
6,-0.1190629791765034,P_1109,Month 9
7,0.2761409014325444,P_1109,Month 9
8,0.2766170652347933,P_1109,Month 9
9,0.063385146706272,P_1109,Month 9
10,-0.3383586363186182,P_1109,Month 9
11,-0.43577114303194053,P_1109,Month 9
12,0.04283736704744025,P_1109,Month 9
13,0.32902612080256577,P_1109,Month 9
14,0.4707641837138688,P_1109,Month 9
2,-0.015371986421281068,P_1109,Month 10
3,-0.44725201494252803,P_1109,Month 10
4,-0.5190095570211041,P_1109,Month 10
5,-0.10939124961466519,P_1109,Month 10
6,-0.03275357774021445,P_1109,Month 10
7,0.5665441780806127,P_1109,Month 10
8,0.2553917305000951,P_1109,Month 10
9,0.10774027721403201,P_1109,Month 10
10,-0.21539559581922177,P_1109,Month 10
11,-0.46019237963510556,P_1109,Month 10
12,-0.08668841273845411,P_1109,Month 10
13,-0.13815782195027726,P_1109,Month 10
14,0.3018667050368714,P_1109,Month 10
2,0.03522428999797996,P_1109,Month 11
3,0.015151834218238595,P_1109,Month 11
4,-0.3428471882133805,P_1109,Month 11
5,0.041755239894742634,P_1109,Month 11
6,-0.03923364074055592,P_1109,Month 11
7,0.4193640425086741,P_1109,Month 11
8,0.024785175270105514,P_1109,Month 11
9,-0.0014344703681585013,P_1109,Month 11
10,0.4046734929323279,P_1109,Month 11
11,-0.19027506124418958,P_1109,Month 11
12,0.13149701849188966,P_1109,Month 11
13,-0.035739265881742595,P_1109,Month 11
14,-0.27444645982221866,P_1109,Month 11
2,0.1172970159109152,P_1109,Month 12
3,-0.2213599368903637,P_1109,Month 12
4,-0.09562295922689537,P_1109,Month 12
5,0.10492420779974453,P_1109,Month 12
6,0.47127017248497505,P_1109,Month 12
7,0.5491986826155227,P_1109,Month 12
8,0.19725029130584212,P_1109,Month 12
9,-0.3052703317764045,P_1109,Month 12
10,-0.4265922999116409,P_1109,Month 12
11,-0.2769637537273014,P_1109,Month 12
12,0.04360095029171623,P_1109,Month 12
13,0.24483013834100198,P_1109,Month 12
14,0.30960949540690785,P_1109,Month 12
