Lag,Autocorrelation,vehicle,month
2,-0.043753708147555956,P_1087,Month 1
3,-0.41805438570619613,P_1087,Month 1
4,-0.42544670254958783,P_1087,Month 1
5,-0.30129393699835944,P_1087,Month 1
6,0.33992102691996184,P_1087,Month 1
7,0.22074808628853243,P_1087,Month 1
8,0.2567910962179034,P_1087,Month 1
9,-0.14426380123944998,P_1087,Month 1
10,-0.49189748108914094,P_1087,Month 1
11,-0.5342800028372933,P_1087,Month 1
12,-0.052332380790255324,P_1087,Month 1
13,0.3239163969363263,P_1087,Month 1
14,0.6568915755435812,P_1087,Month 1
2,-0.40388189060621577,P_1087,Month 2
3,-0.2124013874314832,P_1087,Month 2
4,0.07740315711112786,P_1087,Month 2
5,-0.07356721250940745,P_1087,Month 2
6,0.034101370586183025,P_1087,Month 2
7,-0.026509704297358726,P_1087,Month 2
8,0.13049478405317974,P_1087,Month 2
9,0.24321601988865957,P_1087,Month 2
10,-0.370514528598679,P_1087,Month 2
11,-0.3493146068232306,P_1087,Month 2
12,0.09058604876330094,P_1087,Month 2
13,0.22583793325003576,P_1087,Month 2
14,0.18877253794087667,P_1087,Month 2
2,-0.23418007825251383,P_1087,Month 3
3,-0.4266838748109652,P_1087,Month 3
4,-0.40691359631042806,P_1087,Month 3
5,-0.07999985075041605,P_1087,Month 3
6,0.3051236831484132,P_1087,Month 3
7,0.5081871740275773,P_1087,Month 3
8,0.30516422108750874,P_1087,Month 3
9,-0.3274672198506375,P_1087,Month 3
10,-0.5558011993342489,P_1087,Month 3
11,-0.2837676191973341,P_1087,Month 3
12,-0.08820476679454774,P_1087,Month 3
13,0.5076261739995361,P_1087,Month 3
14,0.5840533265174908,P_1087,Month 3
2,-0.2793532708680993,P_1087,Month 4
3,-0.07026852655429401,P_1087,Month 4
4,0.15135974784735123,P_1087,Month 4
5,-0.10990475627518141,P_1087,Month 4
6,-0.17116351441853192,P_1087,Month 4
7,0.21294151112417564,P_1087,Month 4
8,0.0016312245913540134,P_1087,Month 4
9,-0.30610657487953324,P_1087,Month 4
10,-0.24530151075129134,P_1087,Month 4
11,0.08342325345571655,P_1087,Month 4
12,-0.1844867521460091,P_1087,Month 4
13,-0.12011234564276399,P_1087,Month 4
14,0.34622665510555795,P_1087,Month 4
2,-0.30757236458202186,P_1087,Month 5
3,0.055809378332251455,P_1087,Month 5
4,-0.0002648075474720073,P_1087,Month 5
5,-0.4056632800099677,P_1087,Month 5
6,0.15697765682689518,P_1087,Month 5
7,0.3871660203455004,P_1087,Month 5
8,-0.13909209065300557,P_1087,Month 5
9,-0.015382505497801353,P_1087,Month 5
10,-0.025105899476017,P_1087,Month 5
11,-0.4194592631481393,P_1087,Month 5
12,-0.2454098656115838,P_1087,Month 5
13,0.28153332528520464,P_1087,Month 5
14,0.1907066870825595,P_1087,Month 5
2,0.08548731466353104,P_1087,Month 6
3,0.055476500806820386,P_1087,Month 6
4,0.1256998787261605,P_1087,Month 6
5,0.23238358006018284,P_1087,Month 6
6,0.5414783957247441,P_1087,Month 6
7,0.6711257566998732,P_1087,Month 6
8,0.07633364394121331,P_1087,Month 6
9,-0.06315552183276059,P_1087,Month 6
10,0.07956482892875655,P_1087,Month 6
11,-0.07298980020107154,P_1087,Month 6
12,0.14375025262051516,P_1087,Month 6
13,0.413100463498858,P_1087,Month 6
14,0.4343645394748726,P_1087,Month 6
2,0.21148650980321632,P_1087,Month 7
3,-0.12323326502723597,P_1087,Month 7
4,-0.0837912234487991,P_1087,Month 7
5,-0.1322118391773436,P_1087,Month 7
6,0.12076202364381178,P_1087,Month 7
7,-0.12025925104001568,P_1087,Month 7
8,-0.03850403882468298,P_1087,Month 7
9,-0.08051836594171831,P_1087,Month 7
10,-0.10764263585430225,P_1087,Month 7
11,0.13147076873384247,P_1087,Month 7
12,0.3121970855802992,P_1087,Month 7
13,-0.15427586109405086,P_1087,Month 7
14,0.7722049824222138,P_1087,Month 7
2,0.29541622195826867,P_1087,Month 8
3,0.1875987049377703,P_1087,Month 8
4,-0.14865714603583421,P_1087,Month 8
5,0.11344252445768924,P_1087,Month 8
6,-0.08541890608687193,P_1087,Month 8
