Lag,Autocorrelation,vehicle,month
2,-0.07096025501860732,P_1112,Month 1
3,-0.46366014119510396,P_1112,Month 1
4,-0.39646199529117726,P_1112,Month 1
5,-0.3364136113632262,P_1112,Month 1
6,0.019742059080024497,P_1112,Month 1
7,0.48286679597538357,P_1112,Month 1
8,0.11796560947618709,P_1112,Month 1
9,0.01470624463363309,P_1112,Month 1
10,-0.07563612898317444,P_1112,Month 1
11,-0.06117666553514028,P_1112,Month 1
12,-0.18176195961965405,P_1112,Month 1
13,0.12679967285586502,P_1112,Month 1
14,0.40617843215196175,P_1112,Month 1
2,-0.15554016081108393,P_1112,Month 2
3,-0.07733828533806712,P_1112,Month 2
4,-0.07628178312731058,P_1112,Month 2
5,0.12492522831940218,P_1112,Month 2
6,-0.022109211241087955,P_1112,Month 2
7,-0.1938616057520797,P_1112,Month 2
8,0.16609451508482526,P_1112,Month 2
9,0.24719196469667837,P_1112,Month 2
10,-0.15235202561566455,P_1112,Month 2
11,-0.13905166112948522,P_1112,Month 2
12,0.11970883738402459,P_1112,Month 2
13,0.05080704542728249,P_1112,Month 2
14,0.1389852468528919,P_1112,Month 2
2,-0.14462875782629064,P_1112,Month 3
3,-0.1987259762398084,P_1112,Month 3
4,-0.20343900157567352,P_1112,Month 3
5,0.1611597021772277,P_1112,Month 3
6,0.14351603475932043,P_1112,Month 3
7,0.11154871132336124,P_1112,Month 3
8,-0.07078594839905876,P_1112,Month 3
9,-0.01666814629021864,P_1112,Month 3
10,-0.27434319155946346,P_1112,Month 3
11,-0.12273070050448119,P_1112,Month 3
12,0.05271547447811058,P_1112,Month 3
13,0.05091729617154018,P_1112,Month 3
14,0.30456205799088887,P_1112,Month 3
2,-0.00035216388473795223,P_1112,Month 4
3,-0.051642455216084085,P_1112,Month 4
4,-0.11316311252931384,P_1112,Month 4
5,-0.02200130222261809,P_1112,Month 4
6,-0.09398939178317342,P_1112,Month 4
7,-0.20567781263403917,P_1112,Month 4
8,-0.23871183998270964,P_1112,Month 4
9,-0.36585404871615007,P_1112,Month 4
10,-0.43755552304847156,P_1112,Month 4
11,-0.07496128122130913,P_1112,Month 4
12,0.04236333149272613,P_1112,Month 4
13,0.24741697486994282,P_1112,Month 4
14,0.349422336456387,P_1112,Month 4
2,-0.10527700756342777,P_1112,Month 5
3,-0.2912884809282656,P_1112,Month 5
4,-0.11046163254090002,P_1112,Month 5
5,-0.04820869677549865,P_1112,Month 5
6,0.05660771681212979,P_1112,Month 5
7,-0.16708034722742587,P_1112,Month 5
8,0.026952413470612918,P_1112,Month 5
9,-0.2998398336952773,P_1112,Month 5
10,-0.2155699309726802,P_1112,Month 5
11,-0.36839699012206745,P_1112,Month 5
12,0.04646177772033856,P_1112,Month 5
13,0.4013123388626525,P_1112,Month 5
14,0.3387813242328811,P_1112,Month 5
2,0.046011445313792775,P_1112,Month 6
3,-0.028476656029336963,P_1112,Month 6
4,-0.10218594766748354,P_1112,Month 6
5,-0.0659353439785491,P_1112,Month 6
6,-0.014777105845249197,P_1112,Month 6
7,0.3792311529418979,P_1112,Month 6
8,0.2369385832750538,P_1112,Month 6
9,-0.28472742098273324,P_1112,Month 6
10,0.09810891178478401,P_1112,Month 6
11,-0.12234460394416724,P_1112,Month 6
12,-0.14026240648659732,P_1112,Month 6
13,-0.026520516802559246,P_1112,Month 6
14,0.3676635577926197,P_1112,Month 6
2,-0.04305761342566517,P_1112,Month 7
3,-0.20756611034980468,P_1112,Month 7
4,-0.22302554407914557,P_1112,Month 7
5,-0.15966763158613334,P_1112,Month 7
6,-0.11362187441670696,P_1112,Month 7
7,0.2197036745432723,P_1112,Month 7
8,0.12360540046375078,P_1112,Month 7
9,-0.03110597249121004,P_1112,Month 7
10,-0.4576564384628372,P_1112,Month 7
11,-0.3640596628493083,P_1112,Month 7
12,-0.24841912150554366,P_1112,Month 7
13,-0.2847865866689922,P_1112,Month 7
14,0.14598771649522868,P_1112,Month 7
2,0.12846923861713097,P_1112,Month 8
3,0.012957259966404913,P_1112,Month 8
4,-0.18095231140610493,P_1112,Month 8
5,-0.12858561391281412,P_1112,Month 8
6,0.19662394780640466,P_1112,Month 8
7,0.3188560255925312,P_1112,Month 8
8,0.31626139070801706,P_1112,Month 8
9,-0.04459208736920309,P_1112,Month 8
10,-0.05325029733839824,P_1112,Month 8
11,-0.10734477538439417,P_1112,Month 8
12,0.05364013651791227,P_1112,Month 8
13,0.5091866313451762,P_1112,Month 8
14,0.6239002824065281,P_1112,Month 8
2,-0.07621196190222533,P_1112,Month 9
3,-0.10926136428526918,P_1112,Month 9
4,-0.29347845493425534,P_1112,Month 9
5,-0.36198200215842075,P_1112,Month 9
6,0.2685481051506553,P_1112,Month 9
7,0.6868249701758954,P_1112,Month 9
8,0.260214013053788,P_1112,Month 9
9,-0.12946814942209114,P_1112,Month 9
10,-0.1503497682360313,P_1112,Month 9
11,-0.38339681429599237,P_1112,Month 9
12,-0.22925458226819556,P_1112,Month 9
13,0.40552071012590296,P_1112,Month 9
14,0.5879295408556162,P_1112,Month 9
2,-0.24466095518780892,P_1112,Month 10
3,-0.39353856365933215,P_1112,Month 10
4,-0.5399828640042441,P_1112,Month 10
5,-0.3237946581387472,P_1112,Month 10
6,0.3363407097032128,P_1112,Month 10
7,0.6284050361379104,P_1112,Month 10
8,0.3493244526050465,P_1112,Month 10
9,0.005571076312142883,P_1112,Month 10
10,-0.5123128859218128,P_1112,Month 10
11,-0.6867149992215442,P_1112,Month 10
12,-0.2861426167114221,P_1112,Month 10
13,0.22280799386624778,P_1112,Month 10
14,0.5819047194569759,P_1112,Month 10
2,-0.24171852986457878,P_1112,Month 11
3,-0.526830452399917,P_1112,Month 11
4,-0.4576879932445489,P_1112,Month 11
5,-0.042534864698983335,P_1112,Month 11
6,0.41404903727050374,P_1112,Month 11
7,0.6579822508062496,P_1112,Month 11
8,-0.0029885722113354015,P_1112,Month 11
9,-0.6195299077953219,P_1112,Month 11
10,-0.5770030544358153,P_1112,Month 11
11,-0.15701742380832348,P_1112,Month 11
12,0.40177473707599143,P_1112,Month 11
13,0.46395347978290435,P_1112,Month 11
14,0.41429302987716593,P_1112,Month 11
2,0.24787379527450654,P_1112,Month 12
3,-0.015498358853284898,P_1112,Month 12
4,0.03561424652496873,P_1112,Month 12
5,-0.2235890477602018,P_1112,Month 12
6,0.20434298639066953,P_1112,Month 12
7,0.3259583168869226,P_1112,Month 12
8,0.4152158350842791,P_1112,Month 12
9,0.21766390657081447,P_1112,Month 12
10,0.32122486923819366,P_1112,Month 12
11,-0.17394703005014905,P_1112,Month 12
12,-0.13846175355691845,P_1112,Month 12
13,0.025689008896184327,P_1112,Month 12
14,0.00935563025162825,P_1112,Month 12
